,precision,recall,f1-score,support
AM General Hummer SUV 2000,0.8125,0.8863636363636364,0.8478260869565217,44.0
Acura Integra Type R 2001,0.7021276595744681,0.75,0.7252747252747253,44.0
Acura RL Sedan 2012,0.72,0.5625,0.631578947368421,32.0
Acura TL Sedan 2012,0.6229508196721312,0.8837209302325582,0.7307692307692307,43.0
Acura TL Type-S 2008,0.6481481481481481,0.8333333333333334,0.7291666666666666,42.0
Acura TSX Sedan 2012,0.875,0.525,0.65625,40.0
Acura ZDX Hatchback 2012,0.8888888888888888,0.41025641025641024,0.5614035087719298,39.0
Aston Martin V8 Vantage Convertible 2012,0.352112676056338,0.5555555555555556,0.43103448275862066,45.0
Aston Martin V8 Vantage Coupe 2012,0.4642857142857143,0.3170731707317073,0.37681159420289856,41.0
Aston Martin Virage Convertible 2012,0.7368421052631579,0.42424242424242425,0.5384615384615384,33.0
Aston Martin Virage Coupe 2012,0.5769230769230769,0.7894736842105263,0.6666666666666666,38.0
Audi 100 Sedan 1994,0.5588235294117647,0.475,0.5135135135135135,40.0
Audi 100 Wagon 1994,0.5,0.38095238095238093,0.43243243243243246,42.0
Audi A5 Coupe 2012,0.4626865671641791,0.7560975609756098,0.5740740740740741,41.0
Audi R8 Coupe 2012,0.6153846153846154,0.5581395348837209,0.5853658536585366,43.0
Audi RS 4 Convertible 2008,0.6666666666666666,0.6666666666666666,0.6666666666666666,36.0
Audi S4 Sedan 2007,0.39655172413793105,0.5111111111111111,0.44660194174757284,45.0
Audi S4 Sedan 2012,0.5,0.38461538461538464,0.43478260869565216,39.0
Audi S5 Convertible 2012,0.631578947368421,0.5714285714285714,0.6,42.0
Audi S5 Coupe 2012,0.36666666666666664,0.2619047619047619,0.3055555555555556,42.0
Audi S6 Sedan 2011,0.5555555555555556,0.6521739130434783,0.6,46.0
Audi TT Hatchback 2011,0.6285714285714286,0.55,0.5866666666666667,40.0
Audi TT RS Coupe 2012,0.7297297297297297,0.6923076923076923,0.7105263157894737,39.0
Audi TTS Coupe 2012,0.47058823529411764,0.38095238095238093,0.42105263157894735,42.0
Audi V8 Sedan 1994,0.48936170212765956,0.5348837209302325,0.5111111111111111,43.0
BMW 1 Series Convertible 2012,0.7297297297297297,0.7714285714285715,0.75,35.0
BMW 1 Series Coupe 2012,0.7894736842105263,0.7317073170731707,0.759493670886076,41.0
BMW 3 Series Sedan 2012,0.4339622641509434,0.5476190476190477,0.4842105263157895,42.0
BMW 3 Series Wagon 2012,0.5348837209302325,0.5609756097560976,0.5476190476190477,41.0
BMW 6 Series Convertible 2007,0.7407407407407407,0.45454545454545453,0.5633802816901409,44.0
BMW ActiveHybrid 5 Sedan 2012,0.5471698113207547,0.8529411764705882,0.6666666666666666,34.0
BMW M3 Coupe 2012,0.5789473684210527,0.75,0.6534653465346535,44.0
BMW M5 Sedan 2010,0.4915254237288136,0.7073170731707317,0.58,41.0
BMW M6 Convertible 2010,0.3472222222222222,0.6097560975609756,0.4424778761061947,41.0
BMW X3 SUV 2012,0.7073170731707317,0.7631578947368421,0.7341772151898734,38.0
BMW X5 SUV 2007,0.6909090909090909,0.926829268292683,0.7916666666666666,41.0
BMW X6 SUV 2012,0.8787878787878788,0.6904761904761905,0.7733333333333333,42.0
BMW Z4 Convertible 2012,0.7058823529411765,0.6,0.6486486486486487,40.0
Bentley Arnage Sedan 2009,0.725,0.7435897435897436,0.7341772151898734,39.0
Bentley Continental Flying Spur Sedan 2007,0.6,0.6136363636363636,0.6067415730337079,44.0
Bentley Continental GT Coupe 2007,0.5,0.5434782608695652,0.5208333333333334,46.0
Bentley Continental GT Coupe 2012,0.7931034482758621,0.6764705882352942,0.7301587301587301,34.0
Bentley Continental Supersports Conv. Convertible 2012,0.6666666666666666,0.6666666666666666,0.6666666666666666,36.0
Bentley Mulsanne Sedan 2011,0.6585365853658537,0.7714285714285715,0.7105263157894737,35.0
Bugatti Veyron 16.4 Convertible 2009,0.7,0.65625,0.6774193548387096,32.0
Bugatti Veyron 16.4 Coupe 2009,0.6382978723404256,0.6976744186046512,0.6666666666666666,43.0
Buick Enclave SUV 2012,0.7058823529411765,0.8571428571428571,0.7741935483870968,42.0
Buick Rainier SUV 2007,0.8108108108108109,0.7142857142857143,0.759493670886076,42.0
Buick Regal GS 2012,0.5833333333333334,0.8,0.6746987951807228,35.0
Buick Verano Sedan 2012,0.6346153846153846,0.8918918918918919,0.7415730337078652,37.0
Cadillac CTS-V Sedan 2012,0.7954545454545454,0.813953488372093,0.8045977011494253,43.0
Cadillac Escalade EXT Crew Cab 2007,0.7777777777777778,0.7954545454545454,0.7865168539325843,44.0
Cadillac SRX SUV 2012,0.9473684210526315,0.8780487804878049,0.9113924050632911,41.0
Chevrolet Avalanche Crew Cab 2012,0.5454545454545454,0.5333333333333333,0.5393258426966292,45.0
Chevrolet Camaro Convertible 2012,0.8846153846153846,0.5227272727272727,0.6571428571428571,44.0
Chevrolet Cobalt SS 2010,0.7105263157894737,0.6585365853658537,0.6835443037974683,41.0
Chevrolet Corvette Convertible 2012,0.6538461538461539,0.4358974358974359,0.5230769230769231,39.0
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.8285714285714286,0.7837837837837838,0.8055555555555556,37.0
Chevrolet Corvette ZR1 2012,0.6341463414634146,0.5652173913043478,0.5977011494252874,46.0
Chevrolet Express Cargo Van 2007,0.425,0.5862068965517241,0.4927536231884058,29.0
Chevrolet Express Van 2007,0.3939393939393939,0.37142857142857144,0.38235294117647056,35.0
Chevrolet HHR SS 2010,1.0,0.8888888888888888,0.9411764705882353,36.0
Chevrolet Impala Sedan 2007,0.6388888888888888,0.5348837209302325,0.5822784810126582,43.0
Chevrolet Malibu Hybrid Sedan 2010,0.6388888888888888,0.6052631578947368,0.6216216216216216,38.0
Chevrolet Malibu Sedan 2007,0.6521739130434783,0.6818181818181818,0.6666666666666666,44.0
Chevrolet Monte Carlo Coupe 2007,0.7575757575757576,0.5555555555555556,0.6410256410256411,45.0
Chevrolet Silverado 1500 Classic Extended Cab 2007,0.7435897435897436,0.6904761904761905,0.7160493827160493,42.0
Chevrolet Silverado 1500 Extended Cab 2012,0.4666666666666667,0.4883720930232558,0.4772727272727273,43.0
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.5,0.425,0.4594594594594595,40.0
Chevrolet Silverado 1500 Regular Cab 2012,0.5081967213114754,0.7045454545454546,0.5904761904761905,44.0
Chevrolet Silverado 2500HD Regular Cab 2012,0.631578947368421,0.631578947368421,0.631578947368421,38.0
Chevrolet Sonic Sedan 2012,0.5818181818181818,0.7272727272727273,0.6464646464646465,44.0
Chevrolet Tahoe Hybrid SUV 2012,0.5925925925925926,0.43243243243243246,0.5,37.0
Chevrolet TrailBlazer SS 2009,0.7659574468085106,0.9,0.8275862068965517,40.0
Chevrolet Traverse SUV 2012,0.7073170731707317,0.6590909090909091,0.6823529411764706,44.0
Chrysler 300 SRT-8 2010,0.43661971830985913,0.6458333333333334,0.5210084033613446,48.0
Chrysler Aspen SUV 2009,0.723404255319149,0.7906976744186046,0.7555555555555555,43.0
Chrysler Crossfire Convertible 2008,0.9117647058823529,0.7209302325581395,0.8051948051948052,43.0
Chrysler PT Cruiser Convertible 2008,0.8571428571428571,0.8,0.8275862068965517,45.0
Chrysler Sebring Convertible 2010,0.6829268292682927,0.7,0.691358024691358,40.0
